Perioden	CBScode	Crimes	CrimeType
2016JJ00	GM0118	2510	all crimes
2014JJ00	GM0018	1643	all crimes
2015JJ00	GM0018	1475	all crimes
2016JJ00	GM0018	1407	all crimes
2014JJ00	GM0405	4977	all crimes
2015JJ00	GM0405	4675	all crimes
2016JJ00	GM0405	4334	all crimes
2014JJ00	GM1507	1476	all crimes
2015JJ00	GM1507	1511	all crimes
2016JJ00	GM1507	1424	all crimes
2014JJ00	GM0321	1880	all crimes
2015JJ00	GM0321	1603	all crimes
2016JJ00	GM0321	1769	all crimes
2014JJ00	GM0406	1721	all crimes
2015JJ00	GM0406	1860	all crimes
2016JJ00	GM0406	1821	all crimes
2014JJ00	GM0677	1127	all crimes
2015JJ00	GM0677	1065	all crimes
2016JJ00	GM0677	902	all crimes
2014JJ00	GM0353	1373	all crimes
2015JJ00	GM0353	1307	all crimes
2016JJ00	GM0353	1329	all crimes
2014JJ00	GM1884	795	all crimes
2015JJ00	GM1884	830	all crimes
2016JJ00	GM1884	759	all crimes
2014JJ00	GM0166	1791	all crimes
2015JJ00	GM0166	1663	all crimes
2016JJ00	GM0166	1819	all crimes
2014JJ00	GM0678	265	all crimes
2015JJ00	GM0678	257	all crimes
2016JJ00	GM0678	301	all crimes
2014JJ00	GM0537	2073	all crimes
2015JJ00	GM0537	2077	all crimes
2016JJ00	GM0537	2024	all crimes
2014JJ00	GM0928	3201	all crimes
2015JJ00	GM0928	2985	all crimes
2016JJ00	GM0928	2910	all crimes
2014JJ00	GM1598	817	all crimes
2015JJ00	GM1598	773	all crimes
2016JJ00	GM1598	703	all crimes
2014JJ00	GM0079	283	all crimes
2015JJ00	GM0079	243	all crimes
2016JJ00	GM0079	262	all crimes
2014JJ00	GM0588	177	all crimes
2015JJ00	GM0588	181	all crimes
2016JJ00	GM0588	190	all crimes
2014JJ00	GM0542	892	all crimes
2015JJ00	GM0542	735	all crimes
2016JJ00	GM0542	788	all crimes
2014JJ00	GM1931	1444	all crimes
2015JJ00	GM1931	1474	all crimes
2016JJ00	GM1931	1495	all crimes
2014JJ00	GM1659	879	all crimes
2015JJ00	GM1659	702	all crimes
2016JJ00	GM1659	587	all crimes
2014JJ00	GM1685	587	all crimes
2015JJ00	GM1685	471	all crimes
2016JJ00	GM1685	491	all crimes
2014JJ00	GM0882	2109	all crimes
2015JJ00	GM0882	1889	all crimes
2016JJ00	GM0882	1791	all crimes
2014JJ00	GM0415	478	all crimes
2015JJ00	GM0415	403	all crimes
2016JJ00	GM0415	476	all crimes
2014JJ00	GM0416	1100	all crimes
2015JJ00	GM0416	1065	all crimes
2016JJ00	GM0416	973	all crimes
2014JJ00	GM1621	2244	all crimes
2015JJ00	GM1621	2151	all crimes
2016JJ00	GM1621	2274	all crimes
2014JJ00	GM0417	552	all crimes
2015JJ00	GM0417	507	all crimes
2016JJ00	GM0417	543	all crimes
2014JJ00	GM0022	682	all crimes
2015JJ00	GM0022	585	all crimes
2016JJ00	GM0022	627	all crimes
2014JJ00	GM0545	851	all crimes
2015JJ00	GM0545	740	all crimes
2016JJ00	GM0545	830	all crimes
2014JJ00	GM0080	8497	all crimes
2015JJ00	GM0080	8012	all crimes
2016JJ00	GM0080	7500	all crimes
2014JJ00	GM0081	313	all crimes
2015JJ00	GM0081	210	all crimes
2016JJ00	GM0081	208	all crimes
2014JJ00	GM0546	8782	all crimes
2015JJ00	GM0546	7810	all crimes
2016JJ00	GM0546	7552	all crimes
2014JJ00	GM0547	997	all crimes
2015JJ00	GM0547	896	all crimes
2016JJ00	GM0547	941	all crimes
2014JJ00	GM1916	3985	all crimes
2015JJ00	GM1916	3744	all crimes
2016JJ00	GM1916	3543	all crimes
2014JJ00	GM0995	4624	all crimes
2015JJ00	GM0995	4843	all crimes
2016JJ00	GM0995	4551	all crimes
2014JJ00	GM0082		all crimes
2015JJ00	GM0082		all crimes
2016JJ00	GM0082		all crimes
2014JJ00	GM1640	1403	all crimes
2015JJ00	GM1640	1288	all crimes
2016JJ00	GM1640	1333	all crimes
2014JJ00	GM0327	944	all crimes
2015JJ00	GM0327	742	all crimes
2016JJ00	GM0327	825	all crimes
2014JJ00	GM0733	325	all crimes
2015JJ00	GM0733	305	all crimes
2016JJ00	GM0733	324	all crimes
2014JJ00	GM1705	1332	all crimes
2015JJ00	GM1705	1147	all crimes
2016JJ00	GM1705	1272	all crimes
2014JJ00	GM0553	908	all crimes
2015JJ00	GM0553	914	all crimes
2016JJ00	GM0553	959	all crimes
2014JJ00	GM0140	259	all crimes
2015JJ00	GM0140	210	all crimes
2016JJ00	GM0140	184	all crimes
2014JJ00	GM0262	1033	all crimes
2015JJ00	GM0262	1016	all crimes
2016JJ00	GM0262	984	all crimes
2014JJ00	GM0809	1434	all crimes
2015JJ00	GM0809	1212	all crimes
2016JJ00	GM0809	1139	all crimes
2014JJ00	GM0331	328	all crimes
2015JJ00	GM0331	257	all crimes
2016JJ00	GM0331	352	all crimes
2014JJ00	GM0024	236	all crimes
2015JJ00	GM0024	205	all crimes
2016JJ00	GM0024	225	all crimes
2014JJ00	GM0168	684	all crimes
2015JJ00	GM0168	631	all crimes
2016JJ00	GM0168	646	all crimes
2014JJ00	GM1671		all crimes
2015JJ00	GM1671		all crimes
2016JJ00	GM1671		all crimes
2014JJ00	GM0263	1015	all crimes
2015JJ00	GM0263	895	all crimes
2016JJ00	GM0263	876	all crimes
2014JJ00	GM1641	898	all crimes
2015JJ00	GM1641	732	all crimes
2016JJ00	GM1641	796	all crimes
2014JJ00	GM0556	1540	all crimes
2015JJ00	GM0556	1512	all crimes
2016JJ00	GM0556	1638	all crimes
2014JJ00	GM0935	13031	all crimes
2015JJ00	GM0935	11157	all crimes
2016JJ00	GM0935	9514	all crimes
2014JJ00	GM1663	300	all crimes
2015JJ00	GM1663	256	all crimes
2016JJ00	GM1663	241	all crimes
2014JJ00	GM0025	312	all crimes
2015JJ00	GM0025	277	all crimes
2016JJ00	GM0025	256	all crimes
2014JJ00	GM0420	1750	all crimes
2015JJ00	GM0420	1423	all crimes
2016JJ00	GM0420	1330	all crimes
2014JJ00	GM0938	1096	all crimes
2015JJ00	GM0938	748	all crimes
2016JJ00	GM0938	812	all crimes
2014JJ00	GM1948		all crimes
2015JJ00	GM1948		all crimes
2016JJ00	GM1948		all crimes
2014JJ00	GM1908	279	all crimes
2015JJ00	GM1908	289	all crimes
2016JJ00	GM1908	270	all crimes
2014JJ00	GM1987	307	all crimes
2015JJ00	GM1987	319	all crimes
2016JJ00	GM1987	308	all crimes
2014JJ00	GM0119	1615	all crimes
2015JJ00	GM0119	1529	all crimes
2016JJ00	GM0119	1271	all crimes
2014JJ00	GM0687	2444	all crimes
2015JJ00	GM0687	2449	all crimes
2016JJ00	GM0687	2260	all crimes
2014JJ00	GM1842	679	all crimes
2015JJ00	GM1842	536	all crimes
2016JJ00	GM1842	547	all crimes
2014JJ00	GM1731	1108	all crimes
2015JJ00	GM1731	984	all crimes
2016JJ00	GM1731	1009	all crimes
2014JJ00	GM0815	249	all crimes
2015JJ00	GM0815	277	all crimes
2016JJ00	GM0815	291	all crimes
2014JJ00	GM0265		all crimes
2015JJ00	GM0265		all crimes
2016JJ00	GM0265		all crimes
2014JJ00	GM1709	1749	all crimes
2015JJ00	GM1709	1553	all crimes
2016JJ00	GM1709	1583	all crimes
2014JJ00	GM1927	619	all crimes
2015JJ00	GM1927	540	all crimes
2016JJ00	GM1927	516	all crimes
2014JJ00	GM1955	1157	all crimes
2015JJ00	GM1955	1081	all crimes
2016JJ00	GM1955	1280	all crimes
2014JJ00	GM0335	368	all crimes
2015JJ00	GM0335	330	all crimes
