	CBScode	Perioden	  HIC: Theft / burglary dwelling, complete	  HIC: Theft / burglary dwelling, attempts	HIC: Violent Crime	HIC: Street Roof	HIC: Robberies	Undermining public order	Threat	Fire / Explosion	Theft of moped, moped, bike	Theft of / from vehicles	Theft of motor vehicles	Theft / burglary companies / institutions	Theft / burglary garage / barn / shed	Drug trafficking	Trespassing	mistreatment	Overt violence (person)	Or destruction. cause damage	Arms Trade	pickpocketing	morals Felony	Municipality	Province	Population	Population_density(p/km)	Municipality Size
553	GM0370	2015JJ00	22.0	1.0	19.0	0.0	0.0	0.0	6.0	0.0	10.0	34.0	4.0	5.0	5.0	2.0	0.0	13.0	0.0	23.0	1.0	1.0	3.0	Beemster	North Holland	8919.0	124.0	Small
554	GM0370	2016JJ00	11.0	5.0	20.0	0.0	0.0	0.0	8.0	0.0	13.0	13.0	3.0	11.0	3.0	2.0	0.0	12.0	0.0	37.0	0.0	1.0	3.0	Beemster	North Holland	8919.0	124.0	Small
555	GM0370	2017JJ00	10.0	4.0	6.0	0.0	0.0	0.0	2.0	0.0	6.0	12.0	2.0	2.0	4.0	2.0	0.0	4.0	0.0	32.0	2.0	0.0	0.0	Beemster	North Holland	8919.0	124.0	Small
556	GM0373	2014JJ00	96.0	22.0	103.0	1.0	0.0	11.0	28.0	7.0	121.0	62.0	16.0	39.0	31.0	10.0	4.0	65.0	10.0	171.0	4.0	31.0	10.0	Bergen (NH)	North Holland	30075.0	316.0	Big
557	GM0373	2015JJ00	102.0	37.0	80.0	0.0	1.0	3.0	26.0	11.0	142.0	74.0	16.0	30.0	24.0	5.0	3.0	52.0	2.0	215.0	1.0	17.0	15.0	Bergen (NH)	North Holland	30075.0	316.0	Big
558	GM0373	2016JJ00	63.0	16.0	78.0	3.0	2.0	7.0	16.0	10.0	133.0	37.0	16.0	60.0	33.0	5.0	5.0	58.0	4.0	177.0	2.0	18.0	12.0	Bergen (NH)	North Holland	30075.0	316.0	Big
559	GM0373	2017JJ00	64.0	22.0	70.0	0.0	0.0	2.0	28.0	4.0	70.0	30.0	6.0	44.0	20.0	4.0	2.0	36.0	6.0	126.0	2.0	8.0	4.0	Bergen (NH)	North Holland	30075.0	316.0	Big
560	GM0375	2014JJ00	109.0	50.0	214.0	8.0	2.0	2.0	62.0	13.0	466.0	159.0	38.0	82.0	52.0	27.0	5.0	138.0	14.0	393.0	21.0	133.0	14.0	Beverwijk	North Holland	40052.0	2172.0	Big
561	GM0375	2015JJ00	123.0	56.0	221.0	6.0	4.0	7.0	74.0	7.0	320.0	182.0	38.0	86.0	66.0	34.0	3.0	136.0	11.0	297.0	20.0	92.0	11.0	Beverwijk	North Holland	40052.0	2172.0	Big
562	GM0375	2016JJ00	98.0	53.0	229.0	3.0	8.0	3.0	64.0	10.0	223.0	106.0	23.0	52.0	34.0	23.0	6.0	155.0	10.0	318.0	22.0	123.0	13.0	Beverwijk	North Holland	40052.0	2172.0	Big
563	GM0375	2017JJ00	62.0	50.0	176.0	2.0	4.0	6.0	46.0	12.0	168.0	94.0	10.0	96.0	22.0	18.0	0.0	124.0	6.0	230.0	12.0	110.0	10.0	Beverwijk	North Holland	40052.0	2172.0	Big
564	GM0376	2014JJ00	63.0	22.0	17.0	0.0	3.0	1.0	4.0	1.0	36.0	108.0	4.0	7.0	8.0	0.0	0.0	12.0	1.0	45.0	1.0	5.0	3.0	Blaricum	North Holland	9112.0	813.0	Small
565	GM0376	2015JJ00	67.0	25.0	19.0	2.0	1.0	0.0	8.0	4.0	31.0	91.0	4.0	6.0	11.0	1.0	0.0	9.0	2.0	45.0	2.0	6.0	1.0	Blaricum	North Holland	9112.0	813.0	Small
566	GM0376	2016JJ00	51.0	31.0	24.0	2.0	2.0	0.0	12.0	0.0	24.0	120.0	3.0	13.0	3.0	6.0	0.0	11.0	1.0	48.0	1.0	2.0	1.0	Blaricum	North Holland	9112.0	813.0	Small
567	GM0376	2017JJ00	38.0	18.0	16.0	2.0	4.0	0.0	8.0	4.0	14.0	74.0	10.0	10.0	2.0	6.0	0.0	8.0	0.0	42.0	2.0	2.0	6.0	Blaricum	North Holland	9112.0	813.0	Small
568	GM0377	2014JJ00	82.0	56.0	74.0	3.0	0.0	5.0	19.0	5.0	93.0	160.0	17.0	18.0	17.0	8.0	0.0	49.0	6.0	158.0	10.0	32.0	12.0	Bloemendaal	North Holland	22077.0	555.0	Small
569	GM0377	2015JJ00	95.0	32.0	92.0	4.0	2.0	13.0	31.0	1.0	97.0	117.0	8.0	41.0	14.0	15.0	1.0	58.0	3.0	134.0	8.0	29.0	6.0	Bloemendaal	North Holland	22077.0	555.0	Small
570	GM0377	2016JJ00	61.0	25.0	73.0	0.0	0.0	6.0	17.0	3.0	89.0	132.0	14.0	12.0	13.0	12.0	0.0	49.0	7.0	116.0	3.0	23.0	3.0	Bloemendaal	North Holland	22077.0	555.0	Small
571	GM0377	2017JJ00	78.0	26.0	102.0	0.0	0.0	6.0	14.0	6.0	94.0	70.0	12.0	18.0	24.0	18.0	0.0	86.0	2.0	90.0	10.0	18.0	4.0	Bloemendaal	North Holland	22077.0	555.0	Small
572	GM0381	2014JJ00	137.0	71.0	132.0	7.0	1.0	3.0	57.0	6.0	271.0	260.0	24.0	48.0	21.0	8.0	2.0	71.0	4.0	203.0	6.0	62.0	6.0					
573	GM0381	2015JJ00	134.0	45.0	90.0	3.0	1.0	2.0	29.0	5.0	319.0	283.0	21.0	63.0	21.0	12.0	1.0	59.0	2.0	175.0	1.0	47.0	3.0					
574	GM0381	2016JJ00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
575	GM0381	2017JJ00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
576	GM0383	2014JJ00	89.0	44.0	103.0	3.0	2.0	2.0	36.0	8.0	242.0	134.0	16.0	34.0	31.0	7.0	1.0	62.0	5.0	241.0	4.0	19.0	6.0	Castricum	North Holland	34244.0	694.0	Big
577	GM0383	2015JJ00	82.0	42.0	92.0	0.0	3.0	1.0	24.0	5.0	265.0	87.0	9.0	36.0	44.0	2.0	1.0	60.0	8.0	198.0	2.0	13.0	6.0	Castricum	North Holland	34244.0	694.0	Big
578	GM0383	2016JJ00	43.0	23.0	78.0	6.0	0.0	6.0	21.0	5.0	212.0	57.0	14.0	31.0	13.0	5.0	1.0	53.0	4.0	213.0	0.0	18.0	5.0	Castricum	North Holland	34244.0	694.0	Big
579	GM0383	2017JJ00	42.0	32.0	96.0	0.0	0.0	8.0	36.0	6.0	146.0	46.0	2.0	28.0	10.0	4.0	0.0	40.0	20.0	204.0	0.0	10.0	18.0	Castricum	North Holland	34244.0	694.0	Big
580	GM0384	2014JJ00	79.0	57.0	179.0	25.0	5.0	7.0	85.0	6.0	213.0	182.0	82.0	59.0	36.0	15.0	6.0	90.0	4.0	136.0	6.0	44.0	5.0	Diemen	North Holland	25980.0	2080.0	Small
581	GM0384	2015JJ00	95.0	58.0	144.0	11.0	1.0	10.0	69.0	5.0	146.0	211.0	45.0	76.0	31.0	13.0	4.0	72.0	3.0	130.0	6.0	54.0	7.0	Diemen	North Holland	25980.0	2080.0	Small
582	GM0384	2016JJ00	87.0	39.0	148.0	36.0	4.0	7.0	67.0	0.0	132.0	163.0	58.0	72.0	31.0	13.0	1.0	78.0	3.0	135.0	7.0	32.0	5.0	Diemen	North Holland	25980.0	2080.0	Small
583	GM0384	2017JJ00	64.0	46.0	128.0	26.0	8.0	8.0	66.0	0.0	164.0	98.0	82.0	72.0	26.0	24.0	2.0	62.0	0.0	72.0	8.0	20.0	6.0	Diemen	North Holland	25980.0	2080.0	Small
584	GM0385	2014JJ00	38.0	15.0	84.0	2.0	3.0	4.0	32.0	6.0	66.0	20.0	7.0	34.0	20.0	21.0	2.0	49.0	3.0	131.0	5.0	48.0	0.0	Edam-Volendam	North Holland	28934.0	1760.0	Big
585	GM0385	2015JJ00	32.0	6.0	80.0	1.0	0.0	1.0	29.0	1.0	51.0	85.0	3.0	20.0	5.0	9.0	0.0	51.0	0.0	111.0	1.0	67.0	3.0	Edam-Volendam	North Holland	28934.0	1760.0	Big
586	GM0385	2016JJ00	30.0	11.0	79.0	3.0	2.0	3.0	22.0	2.0	98.0	42.0	10.0	17.0	5.0	13.0	1.0	53.0	4.0	79.0	3.0	56.0	3.0	Edam-Volendam	North Holland	28934.0	1760.0	Big
587	GM0385	2017JJ00	34.0	14.0	74.0	2.0	0.0	2.0	16.0	0.0	38.0	36.0	6.0	18.0	6.0	2.0	0.0	52.0	6.0	78.0	0.0	46.0	8.0	Edam-Volendam	North Holland	28934.0	1760.0	Big
588	GM0388	2014JJ00	31.0	24.0	92.0	1.0	3.0	2.0	39.0	3.0	207.0	78.0	7.0	16.0	33.0	4.0	1.0	50.0	3.0	176.0	1.0	6.0	6.0	Enkhuizen	North Holland	18395.0	1471.0	Small
589	GM0388	2015JJ00	51.0	11.0	101.0	0.0	0.0	2.0	37.0	4.0	253.0	43.0	13.0	24.0	18.0	7.0	1.0	62.0	2.0	170.0	3.0	4.0	5.0	Enkhuizen	North Holland	18395.0	1471.0	Small
590	GM0388	2016JJ00	24.0	8.0	98.0	3.0	1.0	4.0	39.0	7.0	131.0	34.0	8.0	23.0	27.0	4.0	3.0	55.0	4.0	149.0	2.0	4.0	6.0	Enkhuizen	North Holland	18395.0	1471.0	Small
591	GM0388	2017JJ00	12.0	6.0	74.0	0.0	2.0	2.0	22.0	10.0	64.0	12.0	6.0	24.0	14.0	2.0	2.0	50.0	2.0	184.0	4.0	8.0	8.0	Enkhuizen	North Holland	18395.0	1471.0	Small
592	GM0392	2014JJ00	540.0	233.0	840.0	44.0	16.0	103.0	305.0	58.0	1515.0	837.0	164.0	301.0	149.0	103.0	15.0	487.0	48.0	1418.0	53.0	391.0	56.0	Haarlem	North Holland	155205.0	5195.0	Big
593	GM0392	2015JJ00	403.0	237.0	760.0	32.0	8.0	84.0	296.0	49.0	1613.0	855.0	173.0	367.0	170.0	101.0	21.0	410.0	54.0	1253.0	53.0	258.0	33.0	Haarlem	North Holland	155205.0	5195.0	Big
