	CBScode	Crimes	CrimeType
642	GM0777	2405.0	Alle misdrijven
643	GM0777	1083.0	Alle misdrijven
644	GM0777	2152.0	Alle misdrijven
645	GM0777	1019.0	Alle misdrijven
646	GM0777	2120.0	Alle misdrijven
647	GM0777	935.0	Alle misdrijven
648	GM1722	183.0	Alle misdrijven
649	GM1722	90.0	Alle misdrijven
650	GM1722	156.0	Alle misdrijven
651	GM1722	79.0	Alle misdrijven
652	GM1722	172.0	Alle misdrijven
653	GM1722	68.0	Alle misdrijven
654	GM0070	662.0	Alle misdrijven
655	GM0070	372.0	Alle misdrijven
656	GM0070	701.0	Alle misdrijven
657	GM0070	312.0	Alle misdrijven
658	GM0070	610.0	Alle misdrijven
659	GM0070	230.0	Alle misdrijven
660	GM1921	1625.0	Alle misdrijven
661	GM1921	683.0	Alle misdrijven
662	GM1921	1486.0	Alle misdrijven
663	GM1921		Alle misdrijven
664	GM1921		Alle misdrijven
665	GM1921		Alle misdrijven
666	GM1940		Alle misdrijven
667	GM1940		Alle misdrijven
668	GM1940		Alle misdrijven
669	GM1940	673.0	Alle misdrijven
670	GM1940	1684.0	Alle misdrijven
671	GM1940	731.0	Alle misdrijven
672	GM0653		Alle misdrijven
673	GM0653		Alle misdrijven
674	GM0653		Alle misdrijven
675	GM0653		Alle misdrijven
676	GM0653		Alle misdrijven
677	GM0653		Alle misdrijven
678	GM0779	989.0	Alle misdrijven
679	GM0779	517.0	Alle misdrijven
680	GM0779	957.0	Alle misdrijven
681	GM0779	504.0	Alle misdrijven
682	GM0779	937.0	Alle misdrijven
683	GM0779	482.0	Alle misdrijven
684	GM0236	1367.0	Alle misdrijven
685	GM0236	568.0	Alle misdrijven
686	GM0236	1133.0	Alle misdrijven
687	GM0236	528.0	Alle misdrijven
688	GM0236	1156.0	Alle misdrijven
689	GM0236	554.0	Alle misdrijven
690	GM1771	1972.0	Alle misdrijven
691	GM1771	1007.0	Alle misdrijven
692	GM1771	1948.0	Alle misdrijven
693	GM1771	839.0	Alle misdrijven
694	GM1771	1847.0	Alle misdrijven
695	GM1771	804.0	Alle misdrijven
696	GM1652	1431.0	Alle misdrijven
697	GM1652	614.0	Alle misdrijven
698	GM1652	1136.0	Alle misdrijven
