Periods,BicycleTheftBicycleOwnersOnly_13,BicycleTheft_12,BurglaryOnlyHouseholds_11,Burglary_10,CarTheftCarUsersOnly_15,CarTheft_14,HarassmentByPhone_25,HitAndRunAccidents_24,OtherOffences_26,OtherThefts_19,OtherVandalism_23,Periods,PersonalCharacteristics,PhysicalAbuse_7,Pickpocketing_18,SexualOffencesOnlyWomen_6,SexualOffences_5,TheftFromCarsCarUsersOnly_17,TheftFromDamageToCarCarUsers_22,TheftFromDamageToCar_21,TheftsFromCars_16,Threat_8,TotalThefts_9,TotalVandalism_20,TotalViolentCrimes_4,VictimOfMoreThanOneTypeOfOffence_3,VictimOfTheOneTypeOfOffence_2,VictimsTotal_1,KeyCharacteristics,Title,CategoryGroupID
1998JJ00,3.7,3.4,,1.1,0.5,0.3,7.6,0.7,0.7,3.8,3.8,1998JJ00,18 ,1.1,1.0,0.9,0.4,3.5,10.6,6.8,2.2,1.8,11.3,10.5,3.2,3.2,19.8,22.9,18,Age cat. 1: 45-54 yrs,3
1999JJ00,4.0,3.4,,2.1,0.5,0.3,6.0,1.3,0.4,3.1,4.3,1999JJ00,18 ,1.0,1.6,1.0,0.6,3.0,10.7,6.6,1.8,2.2,11.5,10.5,3.6,4.3,19.0,23.4,18,Age cat. 1: 45-54 yrs,3
2000JJ00,3.3,3.1,,1.6,0.4,0.3,5.4,1.4,0.5,2.4,4.9,2000JJ00,18 ,0.8,1.5,1.6,0.8,2.2,11.0,7.2,1.4,2.2,10.0,11.7,3.7,3.9,19.7,23.5,18,Age cat. 1: 45-54 yrs,3
2001JJ00,3.6,3.3,,1.7,0.1,0.0,4.7,1.1,0.5,2.4,3.9,2001JJ00,18 ,1.0,1.4,1.1,0.7,3.1,10.2,6.7,2.0,2.9,10.0,10.6,4.4,3.7,19.0,22.7,18,Age cat. 1: 45-54 yrs,3
2002JJ00,3.9,3.5,,1.9,0.0,0.0,4.0,1.3,0.9,3.1,4.6,2002JJ00,18 ,1.6,1.6,1.9,1.1,5.0,12.3,8.3,3.4,2.2,12.1,12.7,4.4,4.8,21.6,26.4,18,Age cat. 1: 45-54 yrs,3
2003JJ00,4.4,4.0,,1.4,0.1,0.1,4.8,1.6,0.6,2.5,4.1,2003JJ00,18 ,0.8,1.3,0.7,0.5,3.6,11.1,7.2,2.3,2.6,10.9,11.0,3.7,3.4,21.0,24.4,18,Age cat. 1: 45-54 yrs,3
2004JJ00,3.6,3.2,,1.6,0.2,0.2,4.0,1.4,0.7,2.7,4.1,2004JJ00,18 ,0.9,1.3,1.2,0.7,3.1,11.2,7.6,2.1,2.8,10.3,11.0,3.9,4.0,19.8,23.8,18,Age cat. 1: 45-54 yrs,3
1997JJ00,1.6,1.6,,2.6,0.0,0.0,6.6,0.9,0.4,3.3,3.9,1997JJ00,19 ,0.5,1.7,0.4,0.2,2.2,6.9,3.9,1.3,1.6,10.1,7.6,2.3,3.0,15.2,18.2,19,Age cat. 1: 55-64 yrs,3
1998JJ00,2.1,1.8,,1.8,0.3,0.1,6.7,0.4,0.7,2.9,3.9,1998JJ00,19 ,0.1,1.5,0.7,0.4,1.3,10.1,5.8,0.7,1.4,8.1,9.4,1.9,2.4,15.9,18.4,19,Age cat. 1: 55-64 yrs,3
1999JJ00,1.8,1.6,,1.2,0.0,0.0,5.6,1.2,0.3,2.9,3.8,1999JJ00,19 ,0.5,1.8,0.1,0.0,1.6,8.4,5.3,1.0,1.9,8.1,8.9,2.5,2.1,16.9,18.9,19,Age cat. 1: 55-64 yrs,3
2000JJ00,1.6,1.4,,1.7,0.3,0.2,5.1,0.7,0.2,2.7,2.9,2000JJ00,19 ,0.4,1.5,0.0,0.0,0.6,9.4,5.7,0.4,1.4,7.2,8.1,1.8,1.9,14.9,16.8,19,Age cat. 1: 55-64 yrs,3
2001JJ00,2.2,2.0,,1.8,0.1,0.1,3.9,1.2,0.2,2.0,2.8,2001JJ00,19 ,0.5,1.4,0.0,0.0,1.9,7.6,4.6,1.2,1.4,7.9,7.4,1.9,2.1,14.5,16.6,19,Age cat. 1: 55-64 yrs,3
2002JJ00,1.8,1.6,,2.3,0.5,0.3,3.2,1.2,0.7,1.9,3.1,2002JJ00,19 ,0.4,1.3,0.4,0.3,3.0,9.5,5.6,1.8,1.9,8.7,8.3,2.6,2.5,16.0,18.5,19,Age cat. 1: 55-64 yrs,3
2003JJ00,1.0,0.8,,1.4,0.2,0.1,2.9,0.9,0.7,2.5,3.1,2003JJ00,19 ,0.7,1.5,0.5,0.4,1.9,9.6,5.9,1.2,1.4,7.2,8.9,2.5,2.3,15.0,17.3,19,Age cat. 1: 55-64 yrs,3
2004JJ00,2.0,1.8,,1.5,0.0,0.0,4.0,1.0,0.8,2.1,2.9,2004JJ00,19 ,0.7,1.3,0.3,0.1,2.0,9.3,6.0,1.3,1.0,7.7,8.7,1.8,1.8,16.1,17.9,19,Age cat. 1: 55-64 yrs,3
1997JJ00,0.2,1.1,,2.4,0.0,0.0,6.4,0.5,0.0,1.1,2.9,1997JJ00,20 ,0.1,1.7,0.0,0.0,1.0,10.1,4.9,0.5,0.5,6.3,7.6,0.6,1.9,11.8,13.7,20,age cat. 1: 65-74 yrs,3
1998JJ00,0.9,0.7,,0.5,0.0,0.0,4.0,1.0,0.2,3.0,2.8,1998JJ00,20 ,0.4,0.9,0.0,0.0,0.9,5.7,3.0,0.5,0.4,5.2,5.6,0.9,1.0,11.0,12.0,20,age cat. 1: 65-74 yrs,3
1999JJ00,0.5,0.4,,0.7,0.4,0.2,4.8,1.0,0.3,1.5,2.5,1999JJ00,20 ,0.0,2.0,0.2,0.1,2.3,9.0,4.6,1.2,0.9,5.8,6.9,1.0,1.5,12.0,13.5,20,age cat. 1: 65-74 yrs,3
