Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
1997JJ00,60400,3.0,20.0,3.0,14.0,5.0,22.0,6.0,1997JJ00,9.0,1100,18.0,50,19.3,,,60400,30 to 40 years
1998JJ00,60400,3.0,22.0,5.0,14.0,4.0,21.0,6.0,1998JJ00,10.0,1100,13.0,49,18.8,,,60400,30 to 40 years
1999JJ00,60400,5.0,33.0,2.0,23.0,2.0,17.0,3.0,1999JJ00,23.0,1100,22.0,65,24.8,,,60400,30 to 40 years
2000JJ00,60400,0.0,31.0,2.0,20.0,6.0,15.0,5.0,2000JJ00,14.0,1100,17.0,55,20.9,,,60400,30 to 40 years
2001JJ00,60400,1.0,27.0,2.0,33.0,3.0,15.0,12.0,2001JJ00,19.0,1100,28.0,70,26.5,,,60400,30 to 40 years
2002JJ00,60400,2.0,31.0,5.0,26.0,5.0,11.0,3.0,2002JJ00,23.0,1100,24.0,65,24.7,,,60400,30 to 40 years
2003JJ00,60400,0.0,36.0,3.0,30.0,4.0,13.0,5.0,2003JJ00,20.0,1100,23.0,67,25.8,,,60400,30 to 40 years
2004JJ00,60400,4.0,24.0,7.0,25.0,7.0,7.0,1.0,2004JJ00,23.0,1100,26.0,62,24.4,,,60400,30 to 40 years
2005JJ00,60400,0.0,23.0,4.0,29.0,6.0,1.0,8.0,2005JJ00,15.0,1100,16.0,51,20.7,,,60400,30 to 40 years
2006JJ00,60400,3.0,18.0,2.0,24.0,5.0,8.0,2.0,2006JJ00,7.0,1100,19.0,44,18.3,,,60400,30 to 40 years
2007JJ00,60400,0.0,15.0,3.0,22.0,4.0,4.0,3.0,2007JJ00,5.0,1100,14.0,35,15.0,,,60400,30 to 40 years
2008JJ00,60400,0.0,20.0,3.0,22.0,3.0,4.0,3.0,2008JJ00,17.0,1100,20.0,46,20.2,,,60400,30 to 40 years
2009JJ00,60400,0.0,16.0,4.0,20.0,3.0,5.0,0.0,2009JJ00,10.0,1100,18.0,38,17.2,,,60400,30 to 40 years
2010JJ00,60400,2.0,11.0,3.0,20.0,4.0,4.0,2.0,2010JJ00,8.0,1100,18.0,36,16.7,,,60400,30 to 40 years
2011JJ00,60400,0.0,12.0,2.0,12.0,3.0,8.0,4.0,2011JJ00,7.0,1100,12.0,30,14.3,,,60400,30 to 40 years
2012JJ00,60400,2.0,15.0,3.0,19.0,3.0,4.0,1.0,2012JJ00,7.0,1100,12.0,33,16.0,,,60400,30 to 40 years
2013JJ00,60400,3.0,13.0,4.0,15.0,1.0,3.0,3.0,2013JJ00,12.0,1100,8.0,31,15.3,,,60400,30 to 40 years
2014JJ00,60400,0.0,17.0,2.0,11.0,3.0,3.0,1.0,2014JJ00,14.0,1100,11.0,31,15.4,,,60400,30 to 40 years
2015JJ00,60400,2.0,12.0,0.0,7.0,3.0,2.0,0.0,2015JJ00,9.0,1100,7.0,21,10.4,,,60400,30 to 40 years
2016JJ00,60400,3.0,13.0,3.0,15.0,3.0,2.0,1.0,2016JJ00,8.0,1100,8.0,28,13.7,,,60400,30 to 40 years
1996JJ00,60500,2.0,16.0,3.0,21.0,2.0,14.0,8.0,1996JJ00,4.0,1100,12.0,41,17.5,,,60500,40 to 50 years
1997JJ00,60500,1.0,15.0,2.0,10.0,0.0,11.0,2.0,1997JJ00,10.0,1100,11.0,31,13.3,,,60500,40 to 50 years
1998JJ00,60500,1.0,15.0,4.0,12.0,1.0,13.0,1.0,1998JJ00,12.0,1100,17.0,38,16.4,,,60500,40 to 50 years
1999JJ00,60500,6.0,16.0,4.0,22.0,3.0,7.0,2.0,1999JJ00,9.0,1100,13.0,41,17.5,,,60500,40 to 50 years
2000JJ00,60500,1.0,20.0,3.0,19.0,4.0,12.0,3.0,2000JJ00,6.0,1100,14.0,41,17.3,,,60500,40 to 50 years
2001JJ00,60500,3.0,21.0,1.0,35.0,1.0,9.0,6.0,2001JJ00,14.0,1100,28.0,59,24.6,,,60500,40 to 50 years
2002JJ00,60500,1.0,9.0,1.0,18.0,1.0,3.0,4.0,2002JJ00,7.0,1100,14.0,29,11.9,,,60500,40 to 50 years
2003JJ00,60500,3.0,11.0,3.0,19.0,3.0,5.0,7.0,2003JJ00,10.0,1100,13.0,37,15.0,,,60500,40 to 50 years
2004JJ00,60500,2.0,15.0,3.0,14.0,5.0,5.0,5.0,2004JJ00,13.0,1100,12.0,37,14.8,,,60500,40 to 50 years
2005JJ00,60500,0.0,18.0,3.0,16.0,6.0,3.0,6.0,2005JJ00,11.0,1100,9.0,36,14.3,,,60500,40 to 50 years
2006JJ00,60500,2.0,13.0,1.0,12.0,4.0,6.0,8.0,2006JJ00,7.0,1100,5.0,29,11.4,,,60500,40 to 50 years
2007JJ00,60500,3.0,10.0,2.0,18.0,2.0,1.0,0.0,2007JJ00,8.0,1100,14.0,29,11.4,,,60500,40 to 50 years
2008JJ00,60500,3.0,15.0,0.0,16.0,3.0,9.0,2.0,2008JJ00,9.0,1100,17.0,37,14.4,,,60500,40 to 50 years
2009JJ00,60500,5.0,5.0,4.0,18.0,2.0,2.0,2.0,2009JJ00,8.0,1100,14.0,30,11.6,,,60500,40 to 50 years
2010JJ00,60500,1.0,9.0,2.0,17.0,0.0,5.0,1.0,2010JJ00,7.0,1100,16.0,29,11.2,,,60500,40 to 50 years
2011JJ00,60500,2.0,14.0,4.0,20.0,5.0,5.0,2.0,2011JJ00,5.0,1100,13.0,35,13.5,,,60500,40 to 50 years
2012JJ00,60500,2.0,19.0,4.0,17.0,3.0,7.0,2.0,2012JJ00,13.0,1100,13.0,40,15.5,,,60500,40 to 50 years
2013JJ00,60500,3.0,9.0,2.0,14.0,4.0,7.0,4.0,2013JJ00,3.0,1100,10.0,28,11.0,,,60500,40 to 50 years
2014JJ00,60500,4.0,11.0,1.0,12.0,3.0,5.0,0.0,2014JJ00,11.0,1100,15.0,31,12.4,,,60500,40 to 50 years
2015JJ00,60500,2.0,6.0,3.0,19.0,0.0,3.0,1.0,2015JJ00,5.0,1100,15.0,27,11.1,,,60500,40 to 50 years
2016JJ00,60500,2.0,3.0,2.0,10.0,3.0,2.0,0.0,2016JJ00,3.0,1100,11.0,18,8.0,,,60500,40 to 50 years
1996JJ00,60600,2.0,8.0,0.0,8.0,3.0,10.0,1.0,1996JJ00,3.0,1100,13.0,24,13.9,,,60600,50 to 60 years
1997JJ00,60600,1.0,9.0,3.0,9.0,2.0,9.0,4.0,1997JJ00,3.0,1100,6.0,23,12.6,,,60600,50 to 60 years
1998JJ00,60600,1.0,3.0,0.0,5.0,1.0,2.0,0.0,1998JJ00,4.0,1100,8.0,12,6.3,,,60600,50 to 60 years
